"Unit Number (Primary)","SUM of Net Mineral Acres","SUM of W.I.","SUM of NRI","Operator","Unit Type","North_STR","Middle_STR","South_STR","Unit Size","Unit No.","Primary Target","Secondary Target","Key Offsets","Cherokee Tier","Red Fork Tier","Rank","Comments","Drilling Commentary","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1078","199.2","0.15565","0.12587","","Non-Op","17-13N-19W","","20-13N-19W","1280","1078","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12","197.1","0.15401","0.12189","CRAWLEY","Non-Op","27-12N-19W","","34-12N-19W","1280","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"53","195.9","0.15304","0.11965","","Non-Op","16-13N-19W","","21-13N-19W","1280","53","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","142.1","0.11102","0.08807","CRAWLEY","Non-Op","33-12N-19W","","4-11N-19W","1280","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1117","136.0","0.10625","0.08124","CRAWLEY","Non-Op","35-14N-23W","","2-13N-23W","1280","1117","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","129.6","0.10127","0.08054","MEWBOURNE","Non-Op","32-14N-23W","","5-13N-23W","1280","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","124.8","0.09747","0.07814","","Non-Op","28-13N-18W","","33-13N-18W","1280","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1334","112.6","0.05866","0.04634","","Non-Op","6-12N-17W","7-12N-17W","18-12N-17W","1920","1334","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"573","106.5","0.08317","0.06748","UNKNOWN","Non-Op","26-13N-19W","","35-13N-19W","1280","573","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"627","90.3","0.07053","0.05660","UNKNOWN","Non-Op","28-13N-19W","","33-13N-19W","1280","627","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","90.0","0.07031","0.05273","","Non-Op","28-12N-18W","","33-12N-18W","1280","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"45","84.8","0.06628","0.05271","CRAWLEY","Non-Op","28-14N-23W","","33-14N-23W","1280","45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1145","83.8","0.06547","0.05319","DUNCAN","Non-Op","32-15N-19W","","5-14N-19W","1280","1145","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"28","68.4","0.05344","0.04168","CRAWLEY","Non-Op","11-13N-23W","","14-13N-23W","1280","28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","66.1","0.05162","0.04188","","Potential Drillable","4-12N-18W","","9-12N-18W","1280","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1083","61.9","0.04836","0.03888","OSTRICH","Potential Drillable","14-14N-18W","","23-14N-18W","1280","1083","Red Fork","Cherokee Shale / Cleveland","","2","2","6","Red Fork is dirty/thin but analagous to the Hatcher / Illy sections. Limited data going to the south where it likely thins more. Cleveland looks strong and productive. The Cleveland is thin and likely T2, however, we are ~200' deeper than the TOPAZ (which had decent pressure ~6,000 PSI) and there is a decent looking dirty skinner package..","Limited Control in section would likely need to start with 14/23 drilling N-S","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","51.1","0.03995","0.03196","OSTRICH","Non-Op","13-14N-18W","","24-14N-18W","1280","","Red Fork","Cherokee Shale / Cleveland","","2","2","7","Red Fork is dirty/thin but analagous to the Hatcher / Illy sections. Limited data going to the south where it likely thins more. Cleveland looks strong and productive. The Cleveland is thin and likely T2, however, we are ~200' deeper than the TOPAZ (which had decent pressure ~6,000 PSI) and there is a decent looking dirty skinner package..","Limited Control in section would likely need to start with 14/23 drilling N-S","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1308","40.7","0.03181","0.02584","NADEL & GUSSMAN","Non-Op","2-13N-19W","","11-13N-19W","1280","1308","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","40.0","0.03125","0.02501","","Non-Op","29-13N-18W","","32-13N-18W","1280","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19","40.0","0.03125","0.02500","ROCKIES","Non-Op","14-15N-19W","","23-15N-19W","1280","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
